aal;угорь
ab heute;с сегодняшнего дня
ab und zu;иногда,временами
abart;разновидность,подвид
abbau;демонтаж,снижение,сокращение
abbauen;сносить,разбирать,снижать
abberufen;отзывать
abbestellen;отменять,отказываться
abbeuchen;мыть
abbild;облик,картина
abbilden;рисовать
abbildung;изображение,иллюстрация,рисунок
abbrauchen;изнашивать
abbrechen;прекращать,прерывать,отламывать
abbreviation;сокращение
abbringen;отговаривать
abbruch m;прекращение
abc;азбука,алфавит
abdanken;выходить в отставку
abdecken;открыть,сняв крышку
abdichten;заделывать,замазывать
abdrehen;отв,ртывать,закрывать
abdruck;копия,отпечаток,оттиск
abend;вечер,вечерний
abendandacht;вечерня
abendblatt;вечерняя газета
abendbrot;ужин
abenddämmerung f;сумерки
abendessen n;ужин
abendland;западный
abendmahl;ужин
abendrot n;заход солнца,вечерняя заря
abends;вечером
abenteuer n;авантюра
abenteuerlich;отважный
abenteurer;искатель приключений
abenteurerin;авантюристка
aber;но,однако,же
aber nein;да нет же
aberglaube m;суеверие
abergläubisch;суеверный
aberkenen;не признавать
abermalig;заново,снова
abermals;снова,заново
abfahren;отправляться,отходить,уезжать
abfahrt f;отъезд,отправление,отход
abfall m;отбросы,отходы,спад,снижение
abfallen;отпадать,осыпаться
abfallpapier;макулатура
abfangen;перехватить
abfassen;создавать,писать
abfassung;чертежный
abfertigen;отправлять
abfertigend;диспетчерское управление
abfinden sich mit;удовлетворяться,примиряться
abfindung;денежное пособие
abflachen;выравнивать
abflauen;слабеть,стихать,уменьшаться
abfließen;стекать,вытекать
abflug;отл,вылет
abfluß m;сток,отверстие,утечка
abfragen;опрашивать,спрашивать
abfuhr;вывоз,отправка
abfuhr f;вывозка,отправка
abfällig;пренебрежительный,неблагоприятный
abfärben;красить,пачкать
abführend;слабительный
abführmittel n;слабительное средство
abfüllen;наполнять,расфасовывать
abfüttern;ставить подкладку
abgabe f;сдача,возврат
abgabenfrei;беспошлинно
abgang m;отход,отплытие,отправление,сбыт
abgeben;отдавать,возвращать
abgebrochen;прерванный,недоношенный
abgeglitten;скользить
abgehackt;неспокойный
abgeheilt;излеченный
abgehen;отправляться,отходить,отказываться
abgehetzt;измученный
abgekocht;кипяченый
abgekürzt;сокращ,нный
abgelebt;дряхлый,полуразрушенный,гнилой
abgeleitet;производный,вырезанный
abgelöst;отдельный,отпущенный
abgemacht;реш,нный,конченный,решено
abgemagert;истощенный,исхудалый
abgeneigt;нерасположенный
abgenutzt;сношенный,устаревший
abgeordnete m;депутат
abgeordnetenhaus;палата депутатов
abgeordneter;представитель
abgesandte;посланник,посланный
abgesandte m;посланец
abgeschieden;уединенный,отлученный,усопший
abgeschlossen;законченный
abgeschmackt;нелепый
abgeschworen;клятвопреступник
abgesehen davon;помимо того
abgesetzt;павший
abgesondert;отдельный,отдельно,особняком
abgespannt;утомл,нный
abgesperrt;запертый
abgestanden;выдохшийся,о пиве
abgestoßen;чувствующий отвращение
abgetan;законченный
abglanz;отблеск,отражение
abgleitend;скользящий
abgott;кумир
abgrasen;слегка касаться
abgrasend;пастбище
abgrenzen;разграничивать
abgrund;бездна,пропасть
abgrund m;пропасть,бездна
abhacken;отрубать,отсекать
abhacken ii;сделать дело,поставить галку
abhackend;рослый
abhalten;проводить,мероприятие,удерживать от
abhaltung;сдерживающее средство
abhanden;потерянный
abhandlung f;исследование,труд,научный
abhang m;наклон
abheben;снимать
abhebung;вывод войск
abheilen;заживать
abheilend;лечебный
abholen;заходить,заезжать
abhängen;зависеть
abhängig;зависимый
abhängig von;зависимый от
abhängigkeit f;зависимость
abirren;сбиваться,с дороги,отклониться,от темы
abisolierzange;съемник
abitur;экзамен на аттестат зрелости
abiturient;абитуриент
abkehren;подметать
abklingeln;давать отбой
abklopfen;стряхивать,отряхивать
abklären;прояснить
abknicken;отклоняться
abkommen n;соглашение
abkrabbeln;разлагать на составные части
abkömmling;отпрыск,ребенок,молодой
abkürzung;сокращение,инициалы
abladen;разгружать,выгружать,сгружать
ablader;поставщик
ablagern;выдерживаться,о вине
ablagerung f;отложение,наслоение
ablassen;спускать воду,выпускать пар
ablauf m;течение,ход,истечение
ablaufen;стекать,вытекать
ablaufen zeit;проходить
ablaß;потворство своим желаниям
ablegen;снимать,об одежде
ableger;ребенок,молодой,отпрыск
ablehnen;отклонять,отвергать,отказываться
ablehnend;молящий об отвращении беды,отрицательный
ablehnung f;отказ,отклонение
ableisten;отбывать срок,проходить практику
ableiten;делать вывод,отводить
ableitung f;отвод,отведение
ablenken;отклонять,отвлекать
ablenkung f;отклонение,отвлечение
ableugnen;отрицать,отпираться
abliefern;вручать
abmachung f;соглашение,уговор
abmelden sich;отмечаться на выезд,выход
abmessen;мера,измерять
abmontieren;демонтировать,разбирать
abnahme f;отнятие,покупка,убыль,уменьшение
abnehmen;снимать,отбирать,худеть
abnehmer;покупатель,приемщик
abneigung f;неприязнь,антипатия
abnutzen;изнашивать
abnutzung f;износ,степень изношенности
abnützend;предназначенный для носки
abonnement n;подписка,абонемент
abonnent;подписчик,абонент
abonnieren;подписываться
abordnen;направлять,делегировать
abordnung;делегация
abortieren;выкидыш,потерпеть неудачу
abpflügen;мужество
abprallen;отскакивать,отлетать
abquetschen;отдавить,прищемить
abrackern sich;вкалывать
abraten;отговаривать,отсоветовать
abrechnen;ликвидировать
abrechnung f;вычет,отчисление,расчет,расплата
abreiben;стирать,растирать
abreibung;обтирание
abreise f;отъезд
abreisen;уезжать,выезжать
abreißen;мужество
abrichten;дрессировать
abriegeln;запирать на засов
abriß m;план,чертеж
abrollen;разматывать,развертываться,протекать
abrufen;вызывать
abrüsten;разоружаться
abrüstend;обезоруживающий
abrüstung f;разоружение
absackend;потопление
absage;отказ
absatz;абзац,сбыт,каблук
absaugen;выпускной
abschaffen;упразднять,ликвидировать
abschalten;выключить
abscheren;резать,стрижка
abscheu f;отвращение
abscheulich;отвратительный,мерзкий,гнусный
abscheuliche;отвратительный
abschicken;увольнять
abschieb;гулянка
abschied;прощание
abschied m;прощание,расставание,отставка
abschießen;сбить выстрелом,подстрелить
abschirmung;щит
abschlachten;бить,забивать
abschlag m;скидка,аванс,задаток
abschlagen;отбивать,отражать
abschleppen;буксир
abschließen;запирать,закрывать на ключ
abschluß;окончание,завершение
abschmieren;сало
abschnallen;отстегивать,расстегивать
abschneiden;отрезать,стричь,подстригать
abschnitt m;глава,раздел,период времени
abschnüren;перевязывать жгутом
abschrauben;отвинчивать
abschrecken;отпугивать,устрашать
abschreckung;удержание,разубеждение
abschreiben;переписывать,списывать
abschreibung;обесценивание
abschrift;копия
abschrägen;наклон
abschrägen;скашивать
abschuß;выстрел,запуск
abschweifen;отклоняться
abschweifend;отклоняющийся,непоследовательный
abschweifung;отступление
abschwung;затишье
abschwächen;смягчать,ослаблять
abschätzen;определять,на глаз,оценивать
abschätzig;пренебрежительный,отрицательный
abschätzung;обложение
abschöpfen;верхний слой
abschöpfend;снимание верхнего слоя
abschürfen;обдирающий
abschüßig;крутой,покатый,обрывистый
absehen;угадывать,отказываться
abseits;в сторону,в стороне
abseits n;офсайд,положение вне игры
absender;отправитель
absenker;слой
absetzen;снимать,высаживать,пассажира
absicht f;цель,намерение,умысел
absichtlich;намеренный,умышленный
absolut;неограниченный
absolvieren;оканчивать,вуз
absonderlich;причудливый
absondern;разделение,выделять
absonderung;разъединение
absorbieren;поглощать
absorbierender;увлекательный
absorption;впитывание
absparen;ограничение
abspeichern;толчок,заучивать наизусть
abspeisen;хитрость
abspenstig;неверный
abspenstig machen;отбить,переманить
absperrung f;ограждение,оцепление
abspielen;проигрывать,пластинку,передавать пас
abspielen sich;разыгрываться,происходить
absplittern;облупливаться
absprechen;оговорить,условия
abspulen;разматывать
abspulend;разматывание
abspülen;сматывать
abstammen;происходить,быть родом
abstammend;спускающийся
abstammung f;происхождение
abstand m;расстояние,промежуток времени
abstatten jm einen besuch;посетить
abstauben;сметать пыль,вытирать пыль
abstecken;закалывать,резать
abstehend;отдаленный
absteigen;слезать,спускаться
abstellen;ставить,оставлять,выключать
abstempeln;печать
absteppen;отстрачивать
abstieg m;спуск
abstimmen;голосовать,настраивать
abstimmung f;голосование
abstinent;умеренный
abstinenz;воздержание
abstoßen;отталкивать,сбывать
abstoßend;отталкивающий,отвратительный
abstrahieren;отвлеченный
abstraktion;отвлечение
abstreifen;снимать,счищать
abstufen;располагать уступами,разделять по степеням
abstufung f;ступень,градация
abstumpfen;притуплять,притупляться
absturz m;падение,обрыв,крутизна
abstürzen;падать,срываться,круто обрываться
absurd;нелепый,бессмысленный
abszeß;нарыв
abtauen;размораживать
abteil;купе
abteilend;отгораживать,отделять,разгораживать
abteilung f;отделение,отдел,секция
abtippen;перепечатать на машинке
abtragen;изнашивать,расплачиваться
abtreiben;медленное течение,выкидыш
abtreiber;подпольный акушер
abtreibung f;аборт
abtrennen;разделение
abtreten;стаптывать,чистить,вытирать
abtretung;уступка
abtritt m;уход со сцены
abtrittsgrube;отхожее место
abtrocknen;вытирать насухо,высыхать
abwandeln;видоизменять,варьировать
abwarten;ждать,ожидать,дожидаться
abwasch m;грязная посуда
abwasch machen;мыть посуду
abwaschlappen;посудное полотенце
abwaschtuch;кухонное полотенце
abwasserkanäle;дренажная труба
abwechseln;сменяться,чередоваться
abwechslungsreich;разнообразный
abweg m;ложный путь,заблуждение
abwehr f;оборона,защита,контрразведка
abwehren;отражать атаку,предотвращать опасность
abwehrstoff;антивещество
abweichen;отклоняться,уклоняться,отличаться
abweichung f;отклонение,уклонение
abweisen;отклонять
abwenden;отворачивать лицо,предотвращать
abwerben;переманивать
abwerfen;сбрасывать
abwesend;отсутствующий
abwesenheit;отсутствие
abwickeln;разматывать,выполнять,осуществлять
abwägen;взвешивать
abwärts;вниз
abzahlen;платить
abzahlung;плат
abzahlungsrate;часть
abzatz m;абзац
abzehren;истощать,изнурять
abzeichen n;значок,знак различия
abzeichnen;срисовывать,выделять,ся
abziehen;снимать,вычитать,печатать
abziehung;отвлечение
abzug m;отход,уход,отступление
abzweigen;разветвляться,ответвляться
abzweigung f;разветвление,развилка,ветка,ж-д
abzählen;отсчитывать,рассчитываться
abändern;переделывать
abänderung;поправка
accent;давление,ударение
acetylen;ацетилен
achromatisch;бесцветный
achse f;ось,вал,стержень
achsel f;плечо
achselhöhle f;подмышка
achselklappe;эполет
achselzucken;пожимание
acht;упустить,оставить без внимания
acht f;внимание,число восемь
acht f;восемь
achtbar;почтенный
achtbitzeichen;октет
achte;восьмой
achteck;восьмиугольный
achten;уважать,обращать внимание
achtenswert;достойный уважения
achteraus;за кормой
achterbahn;американские горы
achtern;за кормой
achtsam;внимательный
achtung f;внимание
achtzehn;восемнадцать
achtzig;восемьдесят
acker m;поле,пашня
ackerbau m;земледелие
adapter;адаптер
adaptieren;годный,приспособлять
addieren;складывать,прибавлять
addition;суммирование,сложение
adel m;дворянство
adeln;жаловать дворянством
adelnd;облагораживающий
adept;приверженец
ader;вена,кровеносный сосуд,артерия
adieu;прощай
adjektiv;имя прилагательное
adjunkt;помощник
adler m;орел
adlerchen;орленок
adlig;дворянский,благородного происхождения
adlige;аристократ
adoptieren;усыновлять
adoptierte;приемный
adressabstand;смещенный
adressat;адресат
adresse f;адрес
adreßbuch;директивный
adreßbüro;адресный стол
adsorbieren;всасывать
advent;приход
adverb;наречие
adverbiale;обстоятельство
adverbs;наречный
advokat;адвокат
affe m;обезьяна
affekt;любовь
affektieren;принимать позы
affenbrotbaum m;баобаб
affiche;плакат
affix;поставить
afghane;афганский
afghanistan;афганистан
afrikanerin;африканский
after;заднепроходный канал
afterreden;клевета
ag;акционерное общество
agenda;повестка дня
agent m;агент,шпион,сыщик,агентура
agentur;агентство
aggregat;совокупность
aggression;агрессия
aggressiv;агрессивный
aggressor;агрессор
agierend;действующий
agitieren;агитировать,волновать
agonie f;агония
agraffe;крюк,застежка
agrar;земельный
agrarier;аграрный
agronom;агроном
ahle f;шило
ahn;предок,праотец
ahnden;наказывать
ahnen;предчувствовать,догадываться
ahnentafel;племенной
ahnung f;предчувствие,представление,понятие
ahnungslos;не подозревающий,не имеющий понятия
ahnungslosen;не подозревающий
ahorn;клен
akademie;академия
akademisch;академический
akazie f;акация
akklamieren;аплодировать
akklimatisieren;акклиматизировать
akkord m;аккорд
akkordeon;гармонь,аккордеон
akkreditieren;аккредитовать
akkreditierte;общепринятый
akkumulator;батарейный,коллектор
akkumulieren;накапливать
akkurat;в время,незамедлительный,пунктуальный
akkusativ;винительный падеж
akne;угорь
akoluth;служитель
akrobat m;акробат
akrobatik;акробатика
akropolis;акрополь
akt m;акт,действие
akte f;дело,материалы,документы
aktendeckel;папка
aktenkoffer;дипломат,чемоданчик,портфель
aktenkundig;зарегистрированный
aktennotiz;дипломатическая нота,меморандум
aktenordner;папка для документов,скорошиватель
akteur;акт
aktie f;акция
aktiengesellschaft;акционерное общество
aktion;действие,выступление
aktiv;активный,деятельный,действенный
aktivieren;активизировать,усиливать
aktivist;активист,передовик
aktivität f;активность
aktivposten;ценное качество
aktuar;регистратор
aktuell;актуальный,злободневный
akupunktur;иглотерапия
akustik;акустика
akustisch;акустический,звуковой,слуховой
akut;проницательный
akzent;ударение,произношение
akzentuieren;выделять
akzentuierend;относящийся к ударению
akzept;принятие
akzeptierte;принятый
akzise;взимать акцизный сбор
alarm m;тревога
alarmieren;вызывать,полицию,пожарников
albaner;албанец
albanien;албания
albanisch;албанец
albern;нелепый,глупый,дурацкий
alberne;пустяковый
album n;альбом
alge;водоросль
algebra f;алгебра
algebraisch;алгебраический
algerien;алжир
alibi;оправдание
alkali n;щелочь
alkohol m;спирт,алкоголь,спиртное
alkoholfrei;мягкий
alkoven;беседка
all;весь,всякий,каждый
all;вселенная
allbekannt;общеизвестный
allbekanntheit;известность
alle;все
allee f;аллея
allein;один,одна,одно,одни,сам
alleinherrschaft f;единовластие,самодержавие
alleinig;только,одиночный
alleinstehend;одинокий,холостой,незамужняя
allemal;каждый раз
allen;всякий
allenthalben;повсюду
aller;всякий,во всех отношениях
allerdings;конечно,разумеется
allergie f;аллергия
allerlei;всевозможный,всяческий
allerletz;самый последний
allerliebst;прелестный
allerorten;повсюду
alles;все
allesamt;все вместе
allgegenwärtig;вездесущий
allgemein;общий,всеобщий
allgemeingültig;общепринятый
allianz;лига
alliierte;союзник
alljährlich;ежегодный,годичный
allmächtig;всемогущий
